Necessidade de Retrabalho,O membro realiza atividades que não resultam em retrabalhos.
Atender ao Padrão de Qualidade,O membro executa suas atividades atendendo os padrões de qualidade.
Realização de Atividades,O membro realiza todas as suas atividades.
Obtenção de metas,O membro executa atividades essenciais para a obtenção de metas da equipe.
Proatividade,O membro, ao antever problemas, age para resolvê-los.
Iniciativa,O membro se prontifica para realizar uma atividade assim que é apresentada a demanda.
Cumprimento de Prazos,O membro executa suas atividades dentro do prazo estabelecido.
Uso dos canais de comunicação da empresa,O membro responde e-mails e mensagens com solicitude, garantindo o bom desenvolvimento das atividades.
Relacionamento Interpessoal,O membro demonstra respeito ao se relacionar com os pares.
Realização de Atividades em Grupo,O membro contribui de forma construtiva para a realização de atividades em grupo.
Cumprimento de normas de conduta,O membro cumpre as normas de conduta da empresa.
Profissionalismo no ambiente de trabalho,O membro zela pela imagem da empresa dentro do ambiente de trabalho.
Profissionalismo fora do ambiente de trabalho,O membro zela pela imagem da empresa fora do ambiente de trabalho.
